Country,Parliament type,Voluntary political party quotas,Single/Lower House > Quota type,Upper house > Quota type,Sub-National Level > Quota type,Single/Lower House > Constitutional quota details,Upper house > Constitutional quota details,Sub-National Level > Constitutional quota details,Single/Lower House > Electoral law quota details,Upper house > Electoral law quota details,Sub-National Level > Electoral law quota details
Nicaragua,Unicameral,Yes,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Niger,Unicameral,Yes,Reserved seats,,Reserved seats,No,,No,Yes,No,Yes
"North Macedonia, Republic of ",Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Norway,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Pakistan,Bicameral,No,Reserved seats,Reserved seats,Reserved Seats,Yes,Yes,Yes,No,Yes,Yes
Panama,Unicameral,No,Legislated Candidate Quotas,,No legislated,No,,No,Yes,No,No
Paraguay,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,Yes,Yes
Peru,Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Philippines,Bicameral,Yes,No legislated,No legislated,Reserved Seats,No,,No,No,No,Yes
Poland,Bicameral,No,Legislated Candidate Quotas,No legislated,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Portugal,Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Republic of The Congo (Brazzaville),Bicameral,No,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,Yes,Yes,Yes,Yes,Yes,Yes
Romania,Bicameral,Yes,No legislated,No legislated,No legislated,No,,No,No,No,No
Rwanda,Bicameral,No,Reserved seats,Reserved seats,Legislated Candidate Quotas,Yes,Yes,No,Yes,No,Yes
Samoa,Unicameral,,Reserved seats,,No legislated,Yes,,,,,
San Marino,Unicameral,,Legislated Candidate Quotas,,,,,,Yes,,
Sao Tome and Principe,Unicameral,No,Legislated Candidate Quotas,,No legislated,,,,,,
Saudi Arabia,Unicameral,,Reserved seats,,Legislated Candidate Quotas,Yes,,,,,Yes
Senegal,Unicameral,No,Legislated Candidate Quotas,No legislated,Legislated Candidate Quotas,No,Yes,No,Yes,Yes,Yes
Serbia,Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,Yes,,No,Yes,No,Yes
Sierra Leone,Unicameral,No,No legislated,,Reserved Seats,No,,No,No,No,Yes
Slovakia,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Slovenia,Bicameral,Yes,Legislated Candidate Quotas,No legislated,Legislated Candidate Quotas,No,,No,Yes,No,Yes
