ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_TOTAL,2004,2093.8112,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PUB,2004,228.1729,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PRI,2004,1865.6383,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_TOTAL,2009,5579.5632,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_PUB,2009,853.4486,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_PRI,2009,4726.1146,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_TOTAL,2009,2871.3083,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_PUB,2009,611.6243,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_PRI,2009,2259.684,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_TOTAL,2009,2708.255,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PUB,2009,241.8243,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PRI,2009,2466.4307,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_TOTAL,2011,6790.4077,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_PUB,2011,930.8764,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_T,INS_SECTOR_PRI,2011,5859.5313,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_TOTAL,2011,3362.877,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_PUB,2011,667.82,,,R1:3513
